code,description,month,year,value_uss,quantity_kg
030389,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,76982,28312
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,1140409,658620
030111,Peixes ornamentais de água doce,12,2016,597963,5038
030389,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,736848,124754
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",12,2016,1395864,180705
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",12,2016,540320,87729
030389,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,675432,447044
030289,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,468627,104596
030489,"Filés de outros peixes, congelados",12,2016,242405,26725
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,691563,305257
030382,"Raias (rajidae), congeladas",12,2016,527555,184506
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",12,2016,525830,71065
030617,"Outros camarões, congelados",12,2016,445061,38394
030357,"Espadarte (Xiphias gladius), congelado",12,2016,192381,40727
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,387164,56140
030484,"Filés de espadarte (Xiphias gladius), congelados",12,2016,81374,7925
030571,Barbatanas de tubarão,12,2016,69286,1829
030271,"Tilápias (oreochromis spp.), frescas ou refrigeradas",12,2016,15662,4222
030489,"Filés de outros peixes, congelados",12,2016,167965,14010
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,61988,9310
030344,"Albacoras-bandolim (patudos), congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,9797,3908
030119,Outros peixes ornamentais vivos,12,2016,32791,332
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",12,2016,50903,7972
030489,"Filés de outros peixes, congelados",12,2016,7622,536
030454,"Filé de espadartes (Xiphias gladius), fresco ou refrigerado",12,2016,3978,650
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",12,2016,122155,21281
030611,Lagostas congeladas,11,2016,2030477,60133
030389,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,1907001,318610
030389,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,1173572,421448
030611,Lagostas congeladas,11,2016,2650091,147069
030389,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,555324,196382
030572,"Cabeças, caudas e bexigas natatórias, de peixes",11,2016,1639789,48815
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,327375,190890
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,103472,42066
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",11,2016,523172,91820
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,421401,58727
030111,Peixes ornamentais de água doce,11,2016,514570,4758
030289,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,391924,83198
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",11,2016,1843517,231271
030382,"Raias (rajidae), congeladas",11,2016,54524,18313
030389,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,368106,208041
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",11,2016,92400,24000
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",11,2016,410630,53715
030617,"Outros camarões, congelados",11,2016,174450,15660
030389,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,667081,117042
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,144344,19292
030484,"Filés de espadarte (Xiphias gladius), congelados",11,2016,71595,7550
030344,"Albacoras-bandolim (patudos), congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,45192,18162
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",11,2016,92170,16925
030119,Outros peixes ornamentais vivos,11,2016,34874,390
030571,Barbatanas de tubarão,11,2016,93519,3076
030289,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,15173,6000
030489,"Filés de outros peixes, congelados",11,2016,208867,25777
030271,"Tilápias (oreochromis spp.), frescas ou refrigeradas",11,2016,14579,3736
030454,"Filé de espadartes (Xiphias gladius), fresco ou refrigerado",11,2016,27845,4550
030489,"Filés de outros peixes, congelados",11,2016,15080,1056
030489,"Filés de outros peixes, congelados",11,2016,139515,10901
030289,"Outros peixes, exceto fígados, ovas e sêmen",11,2016,1286,250
030520,"Fígados, ovas e sêmen de peixes, secos, defumados, salgados ou em salmoura",11,2016,6081,68
030719,Outras ostras vivas,11,2016,98,20
030611,Lagostas congeladas,10,2016,3967679,121726
030389,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,2388023,396568
030611,Lagostas congeladas,10,2016,4185145,222460
030389,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,646412,324536
030389,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,1534100,527560
030572,"Cabeças, caudas e bexigas natatórias, de peixes",10,2016,1630395,35815
030289,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,508376,101134
030111,Peixes ornamentais de água doce,10,2016,523924,4170
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",10,2016,445234,80286
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",10,2016,505701,67184
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",10,2016,2052037,251713
030389,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,616394,103748
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",10,2016,427000,51991
030617,"Outros camarões, congelados",10,2016,469099,44564
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",10,2016,185774,24350
030382,"Raias (rajidae), congeladas",10,2016,205400,70650
030571,Barbatanas de tubarão,10,2016,46968,1174
030484,"Filés de espadarte (Xiphias gladius), congelados",10,2016,210436,21010
030353,"Sardinhas, congeladas",10,2016,1900,1500
030389,"Outros peixes, exceto fígados, ovas e sêmen",10,2016,340954,232721
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",10,2016,90230,12960
030489,"Filés de outros peixes, congelados",10,2016,103208,7975
030119,Outros peixes ornamentais vivos,10,2016,30888,402
030489,"Filés de outros peixes, congelados",10,2016,72526,8559
030271,"Tilápias (oreochromis spp.), frescas ou refrigeradas",10,2016,16737,4267
030489,"Filés de outros peixes, congelados",10,2016,6890,482
030611,Lagostas congeladas,09,2016,4362843,138543
030611,Lagostas congeladas,09,2016,4525793,238580
030389,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,3020808,512795
030389,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,1244447,479985
030572,"Cabeças, caudas e bexigas natatórias, de peixes",09,2016,1811463,36660
030389,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,359002,161580
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",09,2016,1978113,209413
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",09,2016,489398,84776
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",09,2016,578647,76903
030617,"Outros camarões, congelados",09,2016,371274,31214
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",09,2016,557538,65939
030111,Peixes ornamentais de água doce,09,2016,409965,4509
030289,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,391741,81772
030389,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,516331,237013
030389,"Outros peixes, exceto fígados, ovas e sêmen",09,2016,565945,111912
030489,"Filés de outros peixes, congelados",09,2016,270024,23641
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",09,2016,242524,30533
030382,"Raias (rajidae), congeladas",09,2016,109756,41260
030571,Barbatanas de tubarão,09,2016,54240,1432
030454,"Filé de espadartes (Xiphias gladius), fresco ou refrigerado",09,2016,32975,5388
030339,"Outros peixes chatos, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",09,2016,30203,15820
030119,Outros peixes ornamentais vivos,09,2016,24615,367
030489,"Filés de outros peixes, congelados",09,2016,6240,437
030489,"Filés de outros peixes, congelados",09,2016,148959,14380
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",09,2016,105760,18887
030520,"Fígados, ovas e sêmen de peixes, secos, defumados, salgados ou em salmoura",09,2016,8016,80
030611,Lagostas congeladas,08,2016,4609162,152254
030611,Lagostas congeladas,08,2016,4314761,221600
030389,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,1388806,542120
030389,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,2770535,476284
030572,"Cabeças, caudas e bexigas natatórias, de peixes",08,2016,1725705,49591
