Pescada Corvina,#N/A,#N/A
Cação Anjo Liso ,#N/A,#N/A
Peixe Cabra,#N/A,#N/A
Peixe Rei,#N/A,#N/A
Piauçu,#N/A,#N/A
Garapau,Atlantic Bumper,Atlantic Bumper
Patinga,#N/A,#N/A
Xancarrona,#N/A,#N/A
Pescada Banana,#N/A,#N/A
Agulhão Preto,#N/A,#N/A
Carapitanga,Dog snapper,Dog Snapper
Bagre Amarelo,#N/A,#N/A
Bagre Branco,#N/A,#N/A
Cavala Aipim,#N/A,#N/A
Manjubinha,#N/A,#N/A
Zebrinha,#N/A,#N/A
Surel,#N/A,#N/A
Comprida,#N/A,#N/A
Surubim Pintado,#N/A,#N/A
Peixe Carvão do Pacifico,#N/A,#N/A
Bagre Uritinga,#N/A,#N/A
Mero,#N/A,#N/A
Sardinha Cascuda,#N/A,#N/A
Arenque do Pacífico,#N/A,#N/A
Marlim Azu,#N/A,#N/A
Vermelho Caranha,#N/A,#N/A
Jacundá,#N/A,#N/A
RÃ,#N/A,#N/A
Pescadinha Real,#N/A,#N/A
Atum Azul,#N/A,#N/A
Lubina,#N/A,#N/A
Cação Lixa,#N/A,#N/A
Paru Branco,#N/A,#N/A
Jeju,Guabine,Guabine
Acarí,#N/A,#N/A
Pescada Dentão,#N/A,#N/A
Tamboatá,#N/A,#N/A
Pescada Verdadeira,#N/A,#N/A
Coroma,Barracuda,Barracuda
Ling Azul,#N/A,#N/A
Congro Negro,#N/A,#N/A
Banjo,#N/A,#N/A
Bico de Pato,#N/A,#N/A
Cará,#N/A,#N/A
Parona,#N/A,#N/A
Cambéu,#N/A,#N/A
Merluza Granadeiro Azu,#N/A,#N/A
Pontudo,#N/A,#N/A
Garoupa Vermelha,#N/A,#N/A
Cação Bagre,#N/A,#N/A
Piavuçu,#N/A,#N/A
Carpa Húngara,#N/A,#N/A
Cujuba,Bagre sierra,Bagre Sierra
Arraia Chita,#N/A,#N/A
Pema,#N/A,#N/A
Manjuba Boca Torta,#N/A,#N/A
